Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain
51,3,3,64722.0,1,0,8,47,303,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0
76,4,3,68657.0,0,0,9,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0
74,5,2,66375.0,0,1,9,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0
52,3,6,22585.0,0,0,9,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0
62,5,4,50611.0,0,1,10,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0
66,3,2,34633.0,2,1,8,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0
52,3,6,20587.0,1,0,8,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0
48,5,2,79632.0,0,0,8,42,471,0,510,99,21,12,1,6,4,9,2,0,0,0,0,0,0
51,3,2,71796.0,0,0,9,54,354,21,311,167,75,32,1,9,3,4,4,0,0,0,0,0,0
51,2,3,78041.0,0,0,10,93,482,35,553,72,160,17,1,4,4,9,2,0,0,0,0,0,0
46,3,3,65665.0,0,1,9,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0
64,3,2,52662.7538028169,1,1,10,87,19,4,12,2,2,6,1,1,0,3,5,0,0,0,0,0,0
57,5,2,51717.0,0,1,9,55,98,1,17,0,1,5,1,3,0,4,7,0,1,0,0,0,0
52,3,2,38200.0,1,1,10,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0
43,3,3,63777.0,1,1,9,87,457,5,106,15,17,53,8,11,1,6,8,0,0,0,0,0,0
47,3,2,66653.0,1,1,10,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0
48,2,3,20130.0,0,0,8,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0
64,3,6,94472.0,0,1,8,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0
50,3,2,84906.0,0,0,9,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0
70,3,4,51537.0,0,1,10,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0
48,3,3,44989.0,0,1,10,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0
49,3,3,59041.0,1,1,8,25,69,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0
64,5,2,77863.0,0,0,9,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0
49,4,2,52662.7538028169,0,0,9,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0
47,4,3,37368.0,1,0,9,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0
69,5,2,53593.0,1,1,10,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0
39,3,3,76630.0,0,0,8,93,255,31,446,40,56,175,1,3,10,11,1,0,0,0,0,0,0
40,5,2,70038.0,0,0,9,54,587,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0
64,5,2,84460.0,0,0,9,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0
45,3,2,666666.0,1,0,9,23,9,14,18,8,1,12,4,3,1,3,6,0,0,0,0,0,0
41,2,3,27733.0,1,0,9,16,0,7,5,26,2,17,2,2,0,3,7,0,0,0,0,0,0
52,5,3,67353.0,0,1,9,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0
54,3,2,56534.0,0,1,9,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,0,1,0
46,3,6,47025.0,0,1,9,52,254,7,108,20,0,26,3,6,3,5,6,0,0,0,0,0,0
55,3,2,65777.0,0,0,9,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0
74,5,5,82032.0,0,0,8,54,332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0
42,2,6,45889.0,0,1,9,42,31,0,6,0,1,8,1,1,0,3,6,0,0,0,0,0,0
43,3,3,27244.0,1,0,8,84,6,5,17,3,24,46,2,2,2,2,7,0,0,0,0,0,0
74,3,3,92344.0,0,0,8,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0
52,5,3,38097.0,1,1,10,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0
51,3,4,25818.0,1,0,10,51,5,2,8,2,2,9,1,0,1,2,7,0,0,0,0,0,0
42,5,3,30732.0,1,0,9,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0
55,5,3,56320.0,0,1,9,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0
46,5,3,55424.0,0,1,10,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,0
40,4,6,75777.0,0,0,9,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0
41,3,2,42162.0,1,0,9,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,0
57,4,5,51390.0,1,1,10,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0
57,3,3,77343.0,0,0,8,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0
51,4,4,44635.0,1,1,9,25,56,0,9,0,0,3,2,2,0,3,7,0,0,0,0,0,0
63,3,2,44911.0,0,1,9,11,159,0,22,2,1,31,3,4,1,4,7,0,0,0,0,0,0
41,3,2,56386.0,1,1,10,51,230,48,214,13,32,75,8,9,1,7,9,0,0,0,0,0,0
67,4,3,52750.0,0,1,9,72,393,0,239,90,69,69,6,5,7,9,4,0,0,0,0,0,0
50,2,2,46344.0,0,1,10,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0
33,3,3,75433.0,1,0,8,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0
61,4,3,61794.0,0,1,9,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0
46,4,2,21024.0,0,0,9,89,36,4,18,6,2,18,1,2,0,4,7,0,0,0,0,0,0
54,2,3,48985.0,0,1,9,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0
65,3,2,21994.0,0,1,10,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0
51,4,4,74290.0,0,1,9,70,1121,0,72,0,12,12,4,10,8,10,6,0,1,0,1,0,0
45,3,6,28769.0,1,0,10,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0
67,4,2,82384.0,0,0,10,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0
52,3,3,63684.0,0,1,10,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0
39,4,6,89616.0,0,0,9,36,671,47,655,145,111,15,1,7,5,12,2,0,0,0,0,0,0
43,3,6,60152.0,0,1,9,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0
40,5,3,84169.0,0,0,9,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0
31,3,3,42691.0,0,0,9,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0
55,3,3,22574.0,2,1,9,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0
56,3,3,44529.0,0,1,9,98,538,13,91,17,6,26,6,6,2,11,5,0,1,0,0,0,0
69,3,2,94384.0,0,0,9,62,1111,24,790,160,45,172,0,5,8,5,2,0,1,1,1,0,0
47,3,6,73170.0,0,0,8,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0
51,4,6,33316.0,1,1,9,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0
70,2,2,57247.0,0,1,9,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0
44,3,3,44359.0,1,1,8,19,20,0,14,7,3,1,3,2,0,4,3,0,0,0,0,0,0
64,2,2,26490.0,0,0,10,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0
74,4,3,83790.0,0,0,9,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0
63,2,4,78353.0,0,1,9,51,752,122,476,39,153,34,1,10,2,11,8,0,0,0,0,0,0
62,3,4,62204.0,0,2,10,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0
33,3,6,21474.0,1,0,8,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0
67,3,3,67225.0,0,1,9,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0
51,2,2,42033.0,1,1,10,95,11,1,4,2,0,7,1,1,0,2,7,0,0,0,0,0,0
46,2,2,75484.0,0,1,10,50,378,97,259,197,194,34,2,7,3,6,4,0,0,0,0,0,0
55,3,2,32474.0,1,1,8,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0
73,3,3,72025.0,0,0,8,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0
45,4,3,50353.0,0,0,8,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0
53,3,5,40590.0,1,1,9,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0
30,4,6,92859.0,0,0,10,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0
50,3,6,21359.0,1,0,9,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,0
55,4,2,62513.0,0,1,9,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0
40,3,6,52662.7538028169,1,0,9,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0
47,2,2,34984.0,1,1,10,40,8,4,15,3,5,3,2,1,0,3,7,0,0,0,0,0,0
71,4,3,27450.0,0,0,9,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0
71,3,4,22263.0,1,1,8,31,17,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,1
44,3,3,51267.0,1,1,9,37,183,2,64,7,2,12,4,3,3,5,4,0,0,0,0,0,0
35,4,4,61787.0,0,0,9,71,621,73,414,78,48,85,1,8,4,6,5,0,0,0,0,0,0
52,3,2,53187.0,1,0,9,66,211,2,30,7,7,10,2,4,1,6,5,0,0,0,0,0,0
69,3,2,58398.0,0,0,9,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0
48,3,6,49166.0,0,1,9,17,224,2,25,7,0,110,2,5,3,3,6,0,0,0,0,0,0
59,3,2,54414.0,1,1,9,49,109,18,16,24,26,18,4,3,1,5,4,0,0,0,0,0,0
44,3,3,42693.0,1,0,8,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0
36,5,6,69867.0,0,0,9,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0
76,3,2,82657.0,0,0,9,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0
39,3,3,25271.0,1,0,10,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0
46,2,6,79689.0,0,0,9,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,0,0,0
33,3,6,81217.0,0,0,9,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0
53,4,2,44602.0,1,1,8,35,167,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0
47,3,6,33249.0,1,0,9,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0
37,2,6,33812.0,1,0,10,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0
48,3,2,48186.0,1,0,8,39,97,3,66,12,7,34,3,4,1,4,7,0,0,0,0,0,0
62,2,4,87305.0,0,0,10,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0
48,3,2,75702.0,0,1,10,87,1073,0,629,145,37,37,1,10,5,13,6,0,0,1,0,0,0
44,3,3,66373.0,1,1,9,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0
58,5,3,45759.0,1,1,9,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0
69,3,5,53653.0,0,0,10,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0
65,3,6,78499.0,0,0,9,12,912,72,170,47,36,97,1,11,3,4,4,0,0,1,0,0,0
74,3,2,70666.0,0,0,9,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0
56,3,2,37758.0,1,1,10,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0
62,3,2,13672.0,1,1,9,86,6,2,9,2,1,5,2,1,0,3,8,0,0,0,0,0,0
51,3,3,35788.0,1,1,8,34,23,2,11,3,1,4,2,2,0,3,6,0,0,0,0,0,0
58,3,6,18701.0,1,1,9,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0
64,3,2,46610.0,0,0,9,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0
31,3,6,86037.0,0,0,9,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0
49,2,3,43050.0,1,0,8,10,30,5,24,6,3,8,2,2,0,4,5,0,0,0,0,0,0
34,4,6,90247.0,0,0,8,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0
47,4,3,47808.0,0,1,9,30,123,1,26,2,0,72,2,3,2,3,7,1,0,0,0,0,0
49,2,3,23559.0,1,0,9,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0
70,3,2,34074.0,1,1,9,69,135,1,41,10,1,67,5,3,3,3,6,1,0,0,0,0,0
54,3,6,35893.0,1,1,10,80,158,0,23,0,0,18,6,3,1,5,8,0,0,0,0,0,0
37,3,3,31158.0,1,0,9,62,25,6,16,20,0,5,2,2,0,3,8,0,0,0,0,0,0
68,5,3,57744.0,0,1,9,91,350,3,39,0,0,19,2,9,1,4,8,0,0,0,0,0,0
46,5,4,14849.0,1,0,9,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0
30,1,6,18746.0,1,0,8,41,2,10,11,12,9,20,2,3,0,3,6,0,0,0,0,0,0
72,4,4,38054.0,1,1,8,24,23,2,17,2,1,0,2,2,0,3,7,0,0,0,0,0,0
60,3,2,76081.0,0,0,8,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0
75,5,5,25358.0,0,1,9,57,19,0,5,0,0,8,2,1,0,3,6,0,0,0,0,0,0
71,3,3,75903.0,0,1,9,50,340,108,185,130,38,100,2,6,6,9,3,0,0,0,0,0,0
71,1,3,26997.0,0,0,10,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0
52,3,6,33697.0,1,0,9,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0
34,1,2,13724.0,1,0,10,43,2,7,5,2,15,27,1,2,0,2,9,1,0,0,0,0,0
37,4,3,19510.0,2,0,9,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0
49,4,3,54108.0,1,1,10,74,539,6,91,8,6,97,13,8,2,9,8,0,0,0,0,0,0
37,3,3,70951.0,0,0,9,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0
47,3,6,55801.0,1,1,9,35,367,4,51,6,4,95,6,7,2,6,7,0,0,0,1,0,0
52,3,6,93790.0,0,0,8,16,1302,68,731,89,114,45,0,6,7,12,2,0,1,1,1,0,0
29,3,6,72354.0,0,0,9,67,315,26,473,220,12,182,1,2,10,6,1,0,0,0,0,0,0
38,3,6,34738.0,1,0,8,51,3,2,10,3,0,2,1,1,0,3,6,0,0,0,0,0,0
44,3,3,67023.0,0,0,8,93,444,44,382,11,8,17,1,3,7,13,2,0,0,0,0,0,1
64,3,4,71964.0,0,0,9,81,587,51,932,180,34,86,1,5,6,5,3,0,0,0,0,0,0
68,3,6,22507.0,0,0,10,67,68,0,226,51,157,68,3,10,2,4,9,0,0,0,0,0,0
57,5,5,54111.0,0,1,9,97,267,6,54,8,3,50,2,5,2,6,5,0,0,0,0,0,0
40,3,6,68627.0,0,0,9,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0
45,3,6,35790.0,1,0,9,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0
49,1,2,9722.0,1,0,10,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,0
56,5,2,65814.0,0,1,8,90,561,14,113,10,14,35,3,8,2,10,5,0,0,0,0,0,0
65,3,3,78618.0,0,0,10,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0
65,4,8,65487.0,0,0,8,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0
30,1,6,7500.0,1,0,10,63,10,17,18,8,26,40,4,3,2,2,9,0,0,0,0,0,0
57,3,3,66480.0,1,1,8,71,199,9,57,20,21,6,7,4,1,7,4,0,0,0,0,0,0
67,3,6,80317.0,0,0,9,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0
65,5,3,44155.0,1,1,8,24,22,1,9,0,0,14,1,1,1,2,4,0,0,0,0,0,0
71,3,3,30833.0,1,1,9,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0
48,3,3,67445.0,0,1,10,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0
46,4,2,30560.0,1,0,9,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0
